******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
         7_BUY:       0       4       0       2       6
        7_SELL:       0       4       0       2       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      41      46      40      68     195
         1_BUY:       7       6       8       5      26
        1_SELL:       7       6       8       5      26
         2_BUY:       5       7       6       8      26
        2_SELL:       5       7       6       8      26
         3_BUY:       9       5       4       8      26
        3_SELL:       9       5       4       8      26
         4_BUY:       1       0       4       2       7
        4_SELL:       1       0       4       2       7
         5_BUY:       3       2       0       3       8
        5_SELL:       3       2       0       2       7
         6_BUY:       2       4       0       2       8
        6_SELL:       2       3       0       2       7
         7_BUY:       0       3       2       0       5
        7_SELL:       0       3       2       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      46      39      51      63     199
         1_BUY:       7       7       7       5      26
        1_SELL:       7       7       7       5      26
         2_BUY:       6       5       6       9      26
        2_SELL:       6       5       6       9      26
         3_BUY:       8       5       5       8      26
        3_SELL:       8       5       5       8      26
         4_BUY:       0       1       6       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       2       0       4       8
        5_SELL:       2       2       0       3       7
         6_BUY:       3       2       1       2       8
        6_SELL:       2       2       1       2       7
         7_BUY:       1       5       0       0       6
        7_SELL:       1       5       0       0       6
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      64      57      28      60     209
         1_BUY:       7       7       6       6      26
        1_SELL:       7       7       6       6      26
         2_BUY:       5       6       6       9      26
        2_SELL:       5       6       6       9      26
         3_BUY:       9       5       6       6      26
        3_SELL:       9       5       6       6      26
         4_BUY:       1       1       4       2       8
        4_SELL:       0       1       4       2       7
         5_BUY:       3       3       0       2       8
        5_SELL:       3       2       0       2       7
         6_BUY:       1       3       2       2       8
        6_SELL:       1       3       1       2       7
         7_BUY:       1       3       1       0       5
        7_SELL:       1       3       1       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      86      53      31      98     268
         1_BUY:       8       6       8       4      26
        1_SELL:       8       6       8       4      26
         2_BUY:       5       6       4      11      26
        2_SELL:       5       6       4      11      26
         3_BUY:       8       6       7       5      26
        3_SELL:       8       6       7       5      26
         4_BUY:       1       2       4       2       9
        4_SELL:       1       0       4       2       7
         5_BUY:       3       3       2       0       8
        5_SELL:       3       3       1       0       7
         6_BUY:       3       1       0       4       8
        6_SELL:       2       1       0       4       7
         7_BUY:       0       4       1       0       5
        7_SELL:       0       4       1       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      86      53      31      98     268
         1_BUY:       8       6       8       4      26
        1_SELL:       8       6       8       4      26
         2_BUY:       5       6       4      11      26
        2_SELL:       5       6       4      11      26
         3_BUY:       8       6       7       5      26
        3_SELL:       8       6       7       5      26
         4_BUY:       1       2       4       2       9
        4_SELL:       1       0       4       2       7
         5_BUY:       3       3       2       0       8
        5_SELL:       3       3       1       0       7
         6_BUY:       3       1       0       4       8
        6_SELL:       2       1       0       4       7
         7_BUY:       0       4       1       0       5
        7_SELL:       0       4       1       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      86      57      27     104     274
         1_BUY:       7       7       8       4      26
        1_SELL:       7       7       8       4      26
         2_BUY:       5       5       5      11      26
        2_SELL:       5       5       5      11      26
         3_BUY:       9       5       6       6      26
        3_SELL:       9       5       6       6      26
         4_BUY:       1       1       5       2       9
        4_SELL:       1       0       4       2       7
         5_BUY:       3       4       1       0       8
        5_SELL:       3       3       1       0       7
         6_BUY:       2       1       0       5       8
        6_SELL:       2       1       0       4       7
         7_BUY:       0       4       1       0       5
        7_SELL:       0       4       1       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      58      46      30      86     220
         1_BUY:       6       8       7       5      26
        1_SELL:       6       8       7       5      26
         2_BUY:       6       5       4      11      26
        2_SELL:       6       5       4      11      26
         3_BUY:       8       6       6       6      26
        3_SELL:       8       6       6       6      26
         4_BUY:       0       2       5       1       8
        4_SELL:       0       1       5       1       7
         5_BUY:       2       4       0       2       8
        5_SELL:       2       4       0       1       7
         6_BUY:       4       0       1       3       8
        6_SELL:       4       0       0       3       7
         7_BUY:       0       2       3       0       5
        7_SELL:       0       2       3       0       5
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
     COLLOSION:      80      59      35      83     257
         1_BUY:      18      27       7       6      58
        1_SELL:       7       6       7       6      26
         2_BUY:       7       5       4      10      26
        2_SELL:       7       5       4      10      26
         3_BUY:       8       3       8       7      26
        3_SELL:       8       3       8       7      26
         4_BUY:       2       1       4       1       8
        4_SELL:       1       1       4       1       7
         5_BUY:       1       4       0       2       7
        5_SELL:       1       4       0       2       7
         6_BUY:       3       1       1       3       8
        6_SELL:       3       1       1       2       7
         7_BUY:       0       3       3       0       6
        7_SELL:       0       3       3       0       6
******************************LOG INFORMATION END*******************************


